Date,In US dollars per year,,,,
"November 30, 1986",3.6e6,,,,
"February 28, 1987",4.6e6,,,,
"May 31, 1987",6000000,,,,
"August 31, 1987",7.2e6,,,,
"November 30, 1987",9000000,,,,
"February 29, 1988",1.1e7,,,,
"May 31, 1988",1.32e7,,,,
"August 31, 1988",1.72e7,,,,
"November 30, 1988",2.12e7,,,,
"February 28, 1989",2.46e7,,,,
"May 31, 1989",2.77e7,,,,
"August 31, 1989",3.04e7,,,,
"November 30, 1989",3.37e7,,,,
"February 28, 1990",3.68e7,,,,
"May 31, 1990",3.71e7,,,,
"August 31, 1990",3.8e7,,,,
"November 30, 1990",4.01e7,,,,
"February 28, 1991",4.24e7,,,,
"May 31, 1991",4.78e7,,,,
"August 31, 1991",5.059999999999999e7,,,,
"November 30, 1991",5.16e7,,,,
"February 29, 1992",5.25e7,,,,
"May 31, 1992",5.440000000000001e7,,,,
"August 31, 1992",4.83e7,,,,
"November 30, 1992",4.36e7,,,,
"February 28, 1993",4.58e7,,,,
"May 31, 1993",4.51e7,,,,
"August 31, 1993",4.980000000000001e7,,,,
"November 30, 1993",4.211e7,,,,
"February 28, 1994",4.57e7,,,,
"May 31, 1994",4.851e7,,,,
"August 31, 1994",5.517e7,,,,
"November 30, 1994",1.534e7,,,,
"February 28, 1995",3.239e7,,,,
"May 31, 1995",5.033e7,,,,
"August 31, 1995",6.615e7,,,,
"November 30, 1995",9.349e7,,,,
"February 29, 1996",9.1e7,,,,
"May 31, 1996",7.777e7,,,,
"August 31, 1996",7.373e7,,,,
"November 30, 1996",1.533e8,,,,
"February 28, 1997",1.661e8,,,,
"May 31, 1997",1.842e8,,,,
"August 31, 1997",2.0779999999999997e8,,,,
"November 30, 1997",1.868e8,,,,
"February 28, 1998",1.671e8,,,,
"May 31, 1998",1.55e8,,,,
"August 31, 1998",1.0169999999999999e8,,,,
"November 30, 1998",1.051e8,,,,
"February 28, 1999",1.167e8,,,,
"May 31, 1999",1.337e8,,,,
"August 31, 1999",1.907e8,,,,
"November 30, 1999",2.378e8,,,,
"February 29, 2000",2.64e8,,,,
"May 31, 2000",2.849e8,,,,
"August 31, 2000",3.06e8,,,,
"November 30, 2000",2.878e8,,,,
"February 28, 2001",2.93e8,,,,
"May 31, 2001",2.885e8,,,,
"August 31, 2001",2.5059999999999997e8,,,,
"November 30, 2001",2.056e8,,,,
"February 28, 2002",1.857e8,,,,
"May 31, 2002",1.787e8,,,,
"August 31, 2002",1.856e8,,,,
"November 30, 2002",1.914e8,,,,
"February 28, 2003",1.958e8,,,,
"May 31, 2003",2.0579999999999997e8,,,,
"August 31, 2003",2.231e8,,,,
"November 30, 2003",2.6629999999999997e8,,,,
"February 29, 2004",3.352e8,,,,
"May 31, 2004",3.803e8,,,,
"August 31, 2004",4.202e8,,,,
"November 30, 2004",4.5039999999999994e8,,,,
"February 28, 2005",4.793e8,,,,
"May 31, 2005",5.196e8,,,,
"August 31, 2005",5.601e8,,,,
"November 30, 2005",6.028e8,,,,
"February 28, 2006",5.56e8,,,,
"May 31, 2006",5.293e8,,,,
"August 31, 2006",4.788e8,,,,
"November 30, 2006",5.058e8,,,,
"February 28, 2007",5.446e8,,,,
"May 31, 2007",5.74e8,,,,
"August 31, 2007",6.848e8,,,,
"November 30, 2007",7.238e8,,,,
"February 29, 2008",7.993e8,,,,
"May 31, 2008",8.617000000000001e8,,,,
"August 31, 2008",8.481e8,,,,
"November 30, 2008",8.718e8,,,,
"February 28, 2009",8.089e8,,,,
"May 31, 2009",7.2e8,,,,
"August 31, 2009",6.645e8,,,,
"November 30, 2009",3.865e8,,,,
"February 28, 2010",3.572e8,,,,
"May 31, 2010",3.798e8,,,,
"August 31, 2010",4.7380000000000006e8,,,,
"November 30, 2010",7.747e8,,,,
"February 28, 2011",8.821e8,,,,
"May 31, 2011",9.629e8,,,,
"August 31, 2011",9.279999999999999e8,,,,
"November 30, 2011",8.327999999999999e8,,,,
"February 29, 2012",7.835e8,,,,
"May 31, 2012",7.779e8,,,,
"August 31, 2012",7.842e8,,,,
"November 30, 2012",8.327999999999999e8,,,,
"February 28, 2013",7.127e8,,,,
"May 31, 2013",5.654e8,,,,
"August 31, 2013",4.47e8,,,,
"November 30, 2013",2.9e8,,,,
"February 28, 2014",2.719e8,,,,
"May 31, 2014",2.839e8,,,,
"August 31, 2014",2.456e8,,,,
"November 30, 2014",2.6840000000000003e8,,,,
"February 28, 2015",3.062e8,,,,
"May 31, 2015",3.652e8,,,,
"August 31, 2015",4.95e8,,,,
"November 30, 2015",6.296e8,,,,
"February 29, 2016",7.99e8,,,,
"May 31, 2016",8.956e8,,,,
"August 31, 2016",9.919e8,,,,
"November 30, 2016",1.169e9,,,,
"February 28, 2017",1.313e9,,,,
"May 31, 2017",1.443e9,,,,
"August 31, 2017",1.592e9,,,,
"November 30, 2017",1.694e9,,,,
"February 28, 2018",1.879e9,,,,
"May 31, 2018",2.167e9,,,,
"August 31, 2018",2.414e9,,,,
"November 30, 2018",2.591e9,,,,
"February 28, 2019",2.682e9,,,,
"May 31, 2019",2.651e9,,,,
"August 31, 2019",2.778e9,,,,
"November 30, 2019",2.951e9,,,,
minimum,,average,,maximum,
3.6e6,US dollars per year,4.923e8,US dollars per year,2.951e9,US dollars per year
"November 30, 1986",,,,"November 30, 2019",